product,gender,smoker,issue_age,face_amount,monthly_premium,premium_per_1000,quote_date
Limited Pay to 65,Female,Non-Smoke r,25,250000.0,261.48,12.551,23-Sep-2024
Limited Pay to 65,Female,Non-Smoke r,25,500000.0,330.33,7.9279,23-Sep-2024
Limited Pay to 65,Female,Non-Smoke r,25,750000.0,480.05,7.6808,23-Sep-2024
Limited Pay to 65,Female,Non-Smoke r,35,250000.0,344.7,16.5456,23-Sep-2024
Limited Pay to 65,Female,Non-Smoke r,35,500000.0,484.77,11.6345,23-Sep-2024
Limited Pay to 65,Female,Non-Smoke r,35,750000.0,711.71,11.3874,23-Sep-2024
Limited Pay to 65,Female,Non-Smoke r,45,250000.0,526.81,25.2869,23-Sep-2024
Limited Pay to 65,Female,Non-Smoke r,45,500000.0,818.1,19.6344,23-Sep-2024
Limited Pay to 65,Female,Non-Smoke r,45,750000.0,1211.71,19.3874,23-Sep-2024
Limited Pay to 65,Female,Non-Smoke r,55,250000.0,1111.32,53.3434,23-Sep-2024
Limited Pay to 65,Female,Non-Smoke r,55,500000.0,1876.45,45.0348,23-Sep-2024
Limited Pay to 65,Female,Non-Smoke r,55,750000.0,2799.23,44.7877,23-Sep-2024
Limited Pay to 65,Female,Non-Smoker,25,100000.0,194.94,23.3928,13-Nov-2024
Limited Pay to 65,Female,Non-Smoker,35,100000.0,230.54,27.6648,13-Nov-2024
Limited Pay to 65,Female,Non-Smoker,45,100000.0,310.25,37.23,13-Nov-2024
Limited Pay to 65,Female,Non-Smoker,55,100000.0,574.95,68.994,13-Nov-2024
Limited Pay to 65,Female,Smoke r,25,250000.0,278.64,13.3747,23-Sep-2024
Limited Pay to 65,Female,Smoke r,25,500000.0,377.95,9.0708,23-Sep-2024
Limited Pay to 65,Female,Smoke r,25,750000.0,551.48,8.8237,23-Sep-2024
Limited Pay to 65,Female,Smoke r,35,250000.0,382.02,18.337,23-Sep-2024
Limited Pay to 65,Female,Smoke r,35,500000.0,580.44,13.9306,23-Sep-2024
Limited Pay to 65,Female,Smoke r,35,750000.0,855.21,13.6834,23-Sep-2024
Limited Pay to 65,Female,Smoke r,45,250000.0,597.81,28.6949,23-Sep-2024
Limited Pay to 65,Female,Smoke r,45,500000.0,999.14,23.9794,23-Sep-2024
Limited Pay to 65,Female,Smoke r,45,750000.0,1483.27,23.7323,23-Sep-2024
Limited Pay to 65,Female,Smoke r,55,250000.0,1242.17,59.6242,23-Sep-2024
Limited Pay to 65,Female,Smoke r,55,500000.0,2226.08,53.4259,23-Sep-2024
Limited Pay to 65,Female,Smoke r,55,750000.0,3323.68,53.1789,23-Sep-2024
Limited Pay to 65,Female,Smoker,25,100000.0,200.86,24.1032,13-Nov-2024
Limited Pay to 65,Female,Smoker,35,100000.0,243.84,29.2608,13-Nov-2024
Limited Pay to 65,Female,Smoker,45,100000.0,335.99,40.3188,13-Nov-2024
Limited Pay to 65,Female,Smoker,55,100000.0,621.96,74.6352,13-Nov-2024
Limited Pay to 65,Male,Non-Smoke r,25,250000.0,286.14,13.7347,23-Sep-2024
Limited Pay to 65,Male,Non-Smoke r,55,750000.0,3178.89,50.8622,23-Sep-2024
Limited Pay to 65,Male,Non-Smoker,25,100000.0,204.2,24.504,13-Nov-2024
Limited Pay to 65,Male,Non-Smoker,25,500000.0,374.52,8.9885,23-Sep-2024
Limited Pay to 65,Male,Non-Smoker,25,750000.0,546.33,8.7413,23-Sep-2024
Limited Pay to 65,Male,Non-Smoker,35,100000.0,243.41,29.2092,13-Nov-2024
Limited Pay to 65,Male,Non-Smoker,35,250000.0,380.09,18.2443,23-Sep-2024
Limited Pay to 65,Male,Non-Smoker,35,500000.0,549.98,13.1995,23-Sep-2024
Limited Pay to 65,Male,Non-Smoker,35,750000.0,809.52,12.9523,23-Sep-2024
Limited Pay to 65,Male,Non-Smoker,45,100000.0,332.82,39.9384,13-Nov-2024
Limited Pay to 65,Male,Non-Smoker,45,250000.0,588.8,28.2624,23-Sep-2024
Limited Pay to 65,Male,Non-Smoker,45,500000.0,934.36,22.4246,23-Sep-2024
Limited Pay to 65,Male,Non-Smoker,45,750000.0,1386.1,22.1776,23-Sep-2024
Limited Pay to 65,Male,Non-Smoker,55,100000.0,622.82,74.7384,13-Nov-2024
Limited Pay to 65,Male,Non-Smoker,55,250000.0,1243.24,59.6755,23-Sep-2024
Limited Pay to 65,Male,Non-Smoker,55,500000.0,2129.56,51.1094,23-Sep-2024
Limited Pay to 65,Male,Smoke r,35,500000.0,685.97,16.4633,23-Sep-2024
Limited Pay to 65,Male,Smoke r,35,750000.0,1013.51,16.2162,23-Sep-2024
Limited Pay to 65,Male,Smoke r,45,250000.0,706.13,33.8942,23-Sep-2024
Limited Pay to 65,Male,Smoke r,45,500000.0,1212.35,29.0964,23-Sep-2024
Limited Pay to 65,Male,Smoke r,45,750000.0,1803.09,28.8494,23-Sep-2024
Limited Pay to 65,Male,Smoke r,55,250000.0,1480.26,71.0525,23-Sep-2024
Limited Pay to 65,Male,Smoke r,55,500000.0,2701.84,64.8442,23-Sep-2024
Limited Pay to 65,Male,Smoke r,55,750000.0,4037.32,64.5971,23-Sep-2024
Limited Pay to 65,Male,Smoker,25,100000.0,213.21,25.5852,13-Nov-2024
Limited Pay to 65,Male,Smoker,25,250000.0,312.74,15.0115,23-Sep-2024
Limited Pay to 65,Male,Smoker,25,500000.0,442.3,10.6152,23-Sep-2024
Limited Pay to 65,Male,Smoker,25,750000.0,648.0,10.368,23-Sep-2024
Limited Pay to 65,Male,Smoker,35,100000.0,263.32,31.5984,13-Nov-2024
Limited Pay to 65,Male,Smoker,35,250000.0,436.29,20.9419,23-Sep-2024
Limited Pay to 65,Male,Smoker,45,100000.0,375.2,45.024,13-Nov-2024
Limited Pay to 65,Male,Smoker,55,100000.0,708.19,84.9828,13-Nov-2024
